Sample_Number,Firmicutes,Actinobacteria,Bacteroidetes,Chlamydiae,Proteobacteria,k_Bacteria,Cyanobacteria,Chloroflexi,Gemmatimonadetes,Aquificae,Acidobacteria,Thermotogae,Deinococcus,Synergistetes,Planctomycetes,Fibrobacteres,Tenericutes,Spirochaetes,Verrucomicrobia,Nitrospirae,Fusobacteria,Thermodesulfobacteria,Armatimonadetes,Ignavibacteriae,Chlorobi,Caldiserica,Lentisphaerae,Candidatus_Cloacimonetes,Chrysiogenetes,Deferribacteres,Elusimicrobia,Rhodothermaeota,Nitrospinae,Dictyoglomi,Primary_Site
s16275,10487994,5421769,324865,855938,22863212,0,75864,1117,18,223,1580,2988,4870,14,78805,0,70268,33846,5693,19,16293,1139,0,1,47,1,1,0,65,61,6,0,6,0,Gum
s16300,257168,134783,10885,1446,455028,0,1016,18,2,9,26,60,449,4,3674,0,3379,2307,207,11,55,28,1,0,0,2,0,0,0,5,0,0,0,0,Gum
s15489,71085,41765,11180,2362,104156,0,568,10,2,3,11,21,79,2,1546,0,1609,1135,21,8,665,15,0,0,0,0,0,0,0,0,0,0,6,0,Larynx
s15493,342612,202902,8220,22103,115188,0,1568,38,0,3,22,110,36,1,2554,0,3708,1911,64,1,54,52,0,0,0,0,0,0,0,1,0,0,0,0,Larynx
s15494,7492594,3252589,253800,574104,3559284,12,78423,855,11,300,1417,1475,1677,6,46060,0,46232,31582,2612,16,4372,763,2,0,56,0,0,1,18,46,3,0,3,1,Larynx
s15495,384897,200974,8865,25896,134409,3,2208,54,1,5,28,145,169,1,3565,0,4698,2538,132,2,337,57,0,1,0,0,0,0,0,1,1,0,0,0,Larynx
s15501,29143,26909,7453,1267,113387,0,380,10,2,1,2,18,66,1,1372,0,1410,1161,33,13,76,16,0,0,0,0,0,0,0,0,0,0,7,0,Larynx
s15530,37489,34209,8109,1342,820274,0,973,12,1,1,5,26,611,1,2207,0,1619,1219,115,12,25,34,5,0,0,1,0,0,0,0,0,0,7,0,Larynx
s15536,428885,277776,11637,31008,148828,0,1956,54,1,13,18,121,34,0,3519,0,5085,2543,129,0,71,70,0,0,1,0,0,0,1,4,0,0,0,0,Larynx
s15538,311456,186160,12743,19228,174175,2,3215,89,13,14,43,238,429,2,8525,0,8810,4666,212,7,149,137,2,0,2,0,0,0,2,6,2,0,0,1,Larynx
s15541,185263,90490,4881,1150,390929,0,281,20,0,2,8,14,780,0,2643,0,989,550,418,225,13,9,0,0,1,0,0,1,0,1,0,0,2,0,Larynx
s15543,151218,85880,12563,1847,415246,1,270,14,0,0,10,17,428,4,1730,0,1516,1850,150,415,157,20,0,0,0,0,0,0,0,0,0,0,1,0,Larynx
s15545,5184167,2746001,227663,410407,2303171,1,36750,1581,29,80,1211,572,746,19,20867,2,15773,14323,2051,40,93621,311,5,4,47,1,1,0,21,86,12,1,8,0,Larynx
s15547,26726,21208,7025,911,76427,0,364,1,1,2,6,19,17,0,1259,0,1366,720,5,121,19,11,0,0,0,0,0,0,0,0,0,0,13,0,Larynx
s15550,2147601,1150852,128376,184714,2070168,4,36024,715,12,216,997,1407,1007,9,37202,0,34703,25820,1190,11,744,480,2,0,35,0,2,0,13,28,2,0,1,0,Larynx
