"Sample_Number","Euryarchaeota","Crenarchaeota","Thaumarchaeota","Candidatus_Korarchaeota","Primary_Site"
"s16308",149,36,59,0,"Larynx"
"s16309",245,109,48,0,"Larynx"
"s16313",4304,14236,152,0,"Base_of_tongue"
"s16315",1901,3905,13,0,"Base_of_tongue"
"s16317",2343,3928,10,0,"Larynx"
"s16318",13030,71975,211,1,"Floor_of_mouth"
"s16319",31924,95201,360,0,"Floor_of_mouth"
"s16324",2340,4414,14,0,"Larynx"
"s16334",3440,4400,15,0,"Larynx"
"s16343",28737,69565,478,0,"Floor_of_mouth"
"s16345",21992,66572,316,0,"Larynx"
"s16351",349,104,36,0,"Larynx"
"s16353",356,118,44,0,"Larynx"
"s16357",579,389,134,0,"Larynx"
"s16370",731,65,7,0,"Floor_of_mouth"
"s16373",382,35,51,0,"Base_of_tongue"
"s16376",325,52,34,0,"Base_of_tongue"
"s16378",318,72,24,0,"Floor_of_mouth"
"s16382",655,150,119,0,"Floor_of_mouth"
"s16383",349,89,29,0,"Floor_of_mouth"
"s16386",270,46,58,0,"Floor_of_mouth"
